Draw Date ,s0,s0+,s1,s1+,s2,s2+,s3,s3+,s4,s4+,s5,s5+,s6
2020-02-12,1100,175,1058,141,356,33,56,3,4,0,0,0,1
2020-02-08,1086,165,1110,155,320,36,44,6,2,1,1,0,1
2020-02-05,1059,182,1051,148,388,35,58,3,1,0,1,0,1
2020-02-01,1095,175,1079,140,367,27,35,3,5,0,0,0,1
2020-01-29,1078,174,1099,115,359,37,57,3,3,1,0,0,1
2020-01-25,1096,176,1084,141,336,32,57,2,2,0,0,0,1
2020-01-22,1129,171,1033,158,338,38,52,5,2,0,0,0,1
2020-01-18,1141,196,1045,146,309,37,49,1,1,1,0,0,1
2020-01-15,1137,184,1033,142,337,28,56,6,3,0,0,0,1
2020-01-11,1114,186,1060,126,356,29,49,5,1,0,0,0,1
2020-01-08,1101,185,1071,112,364,37,46,6,4,0,0,0,1
2020-01-04,1123,181,1048,144,356,23,42,4,4,1,0,0,1
2020-01-01,1077,186,1086,131,344,40,53,2,7,0,0,0,1
2019-12-28,1109,180,1058,144,352,33,47,1,2,0,0,0,1
2019-12-25,1074,179,1067,149,367,38,51,1,0,0,0,0,1
2019-12-21,1083,185,1049,137,390,31,39,6,6,0,0,0,1
2019-12-18,1147,170,1027,128,363,39,47,3,2,0,0,0,1
2019-12-14,1136,179,1037,135,350,37,47,2,2,0,1,0,1
2019-12-11,1084,177,1045,154,378,26,50,9,3,0,0,0,1
2019-12-07,1120,169,1046,135,364,32,53,2,5,0,0,0,1
2019-12-04,1104,185,1036,145,371,36,45,2,2,0,0,0,1
2019-11-30,1067,174,1115,141,335,33,50,5,6,0,0,0,1
2019-11-27,1041,186,1112,136,360,39,38,6,8,0,0,0,1
2019-11-23,1115,155,1039,143,377,27,58,9,2,1,0,0,1
2019-11-20,1072,200,1079,143,347,40,43,1,1,0,0,0,1
2019-11-16,1059,156,1084,151,388,44,40,3,1,0,0,0,1
2019-11-13,1110,177,1048,135,367,30,52,5,2,0,0,0,1
2019-11-09,1087,168,1078,139,374,29,46,3,2,0,0,0,1
2019-11-06,1060,186,1131,134,328,40,41,3,3,0,0,0,1
2019-11-02,1095,183,1093,137,320,31,62,4,1,0,0,0,1
2019-10-30,1067,167,1150,147,319,37,35,2,2,0,0,0,1
2019-10-26,1108,182,1040,153,357,27,56,2,1,0,0,0,1
2019-10-23,1128,175,1056,138,344,37,43,3,2,0,0,0,1
2019-10-19,1117,178,1064,136,346,46,35,4,0,0,0,0,1
2019-10-16,1124,170,1067,149,337,39,34,2,3,0,1,0,1
2019-10-12,1084,192,1084,150,332,33,47,2,2,0,0,0,1
2019-10-09,1074,172,1078,149,368,36,41,5,3,0,0,0,1
2019-10-05,1086,201,1047,151,354,35,49,3,0,0,0,0,1
2019-10-02,1134,179,1055,152,330,33,37,6,0,0,0,0,1
2019-09-28,1070,171,1072,147,367,37,52,5,5,0,0,0,1
2019-09-25,1109,191,1022,153,360,42,45,3,1,0,0,0,1
2019-09-21,1092,187,1025,144,388,29,58,3,0,0,0,0,1
2019-09-18,1095,199,1052,132,362,31,48,3,3,0,1,0,1
2019-09-14,1109,191,1069,124,334,41,56,2,0,0,0,0,1
2019-09-11,1104,169,1074,125,372,33,42,3,4,0,0,0,1
2019-09-07,1126,176,1066,134,336,34,46,5,3,0,0,0,1
2019-09-04,1128,200,1035,147,320,41,51,2,2,0,0,0,1
2019-08-31,1084,183,1103,122,348,27,53,2,4,0,0,0,1
2019-08-28,1097,192,1078,127,365,17,47,2,1,0,0,0,1
2019-08-24,1068,190,1072,139,353,41,56,5,1,1,0,0,1
2019-08-21,1067,181,1099,144,336,39,57,1,2,0,0,0,1
2019-08-17,1122,161,1062,126,359,36,50,7,3,0,0,0,1
2019-08-14,1117,204,1019,154,339,42,48,2,1,0,0,0,1
2019-08-10,1099,172,1063,134,373,33,44,5,3,0,0,0,1
2019-08-07,1148,172,1024,131,363,33,45,6,4,0,0,0,1
2019-08-03,1120,189,1073,121,339,31,49,2,2,0,0,0,1
2019-07-31,1078,160,1102,137,371,27,45,4,2,0,0,0,1
2019-07-27,1097,187,1036,128,374,47,52,4,1,0,0,0,1
2019-07-24,1094,188,1086,142,335,30,45,6,0,0,0,0,1
2019-07-20,1105,171,1048,152,355,44,43,5,2,1,0,0,1
2019-07-17,1152,166,1027,131,369,31,44,3,3,0,0,0,1
2019-07-13,1128,185,1025,144,336,38,64,2,4,0,0,0,1
2019-07-10,1081,169,1070,143,380,33,42,4,3,1,0,0,1
2019-07-06,1104,174,1066,159,336,34,41,7,3,1,1,0,1
2019-07-03,1160,186,982,149,349,40,49,4,6,1,0,0,1
2019-06-29,1158,185,1021,138,332,41,40,8,3,0,0,0,1
2019-06-26,1025,195,1084,148,374,46,49,3,2,0,0,0,1
2019-06-22,1100,182,1068,116,373,34,47,2,2,1,1,0,1
2019-06-19,1094,196,1079,128,350,31,43,1,4,0,0,0,1
2019-06-15,1088,169,1087,155,336,37,48,3,3,0,0,0,1
2019-06-12,1105,179,1046,147,366,36,43,2,2,0,0,0,1
2019-06-08,1080,178,1035,150,378,38,57,7,3,0,0,0,1
2019-06-05,1102,194,1005,128,396,43,50,7,1,0,0,0,1
2019-06-01,1134,179,1024,144,343,39,54,8,1,0,0,0,1
2019-05-29,1100,182,1066,134,344,38,54,5,3,0,0,0,1
2019-05-25,1112,189,1046,131,352,40,46,5,5,0,0,0,1
2019-05-22,1123,185,1059,139,333,27,55,4,1,0,0,0,1
2019-05-18,1073,157,1094,152,353,46,45,3,3,0,0,0,1
2019-05-15,1075,187,1064,125,373,43,52,3,4,0,0,0,1
2019-05-11,1116,162,1085,139,325,40,50,6,3,0,0,0,1
2019-05-08,1062,190,1078,152,358,28,53,1,4,0,0,0,1
2019-05-04,1074,187,1083,143,362,35,36,3,2,1,0,0,1
2019-05-01,1047,195,1117,129,357,30,43,5,3,0,0,0,1
2019-04-27,1109,190,1076,133,334,28,47,6,3,0,0,0,1
2019-04-24,1099,182,1072,146,352,34,36,3,2,0,0,0,1
2019-04-20,1136,174,1008,144,364,37,50,10,3,0,0,0,1
2019-04-17,1115,177,1062,142,343,39,38,6,4,0,0,0,1
2019-04-13,1098,145,1103,150,346,41,40,2,1,0,0,0,1
2019-04-10,1043,175,1068,173,363,46,54,3,0,0,1,0,1
2019-04-06,1077,171,1094,144,352,31,51,2,4,0,0,0,1
2019-04-03,1070,170,1103,129,370,34,44,3,3,0,0,0,1
2019-03-30,1057,159,1098,153,366,33,51,4,5,0,0,0,1
2019-03-27,1115,194,1044,136,364,31,34,3,5,0,0,0,1
2019-03-23,1082,166,1116,149,322,40,45,4,2,0,0,0,1
2019-03-20,1092,190,1056,163,338,32,48,5,2,0,0,0,1
2019-03-16,1082,187,1073,141,358,34,42,6,2,1,0,0,1
2019-03-13,1134,177,1048,131,328,43,57,4,4,0,0,0,1
2019-03-09,1119,187,1030,137,367,32,41,7,5,0,1,0,1
2019-03-06,1129,175,1041,131,356,30,55,4,3,2,0,0,1
2019-03-02,1084,172,1084,159,354,29,40,3,1,0,0,0,1
2019-02-27,1108,158,1074,138,360,34,50,2,2,0,0,0,1
2019-02-23,1087,174,1050,160,364,37,46,6,2,0,0,0,1
2019-02-20,1105,175,1084,139,339,27,50,6,0,0,1,0,1
2019-02-16,1116,182,1035,162,337,34,54,1,5,0,0,0,1
2019-02-13,1105,178,1060,131,341,35,66,6,4,0,0,0,1
2019-02-09,1091,193,1035,129,374,42,56,4,2,0,0,0,1
2019-02-06,1133,193,1017,143,342,41,52,3,2,0,0,0,1
2019-02-02,1085,192,1018,149,377,37,60,3,5,0,0,0,1
2019-01-30,1122,184,1060,137,341,30,50,0,2,0,0,0,1
2019-01-26,1095,187,1062,139,351,36,50,3,3,0,0,0,1
2019-01-23,1100,171,1050,155,350,34,56,5,5,0,0,0,1
2019-01-19,1090,176,1088,142,335,42,47,4,2,0,0,0,1
2019-01-16,1147,175,990,152,362,38,56,3,2,1,0,0,1
2019-01-12,1126,175,1033,153,342,33,56,4,3,1,0,0,1
2019-01-09,1120,193,1073,134,323,37,39,7,0,0,0,0,1
2019-01-05,1111,189,1025,149,352,32,60,5,3,0,0,0,1
2019-01-02,1073,180,1059,136,382,42,47,5,2,0,0,0,1
2018-12-29,1103,168,1090,139,341,38,44,2,1,0,0,0,1
2018-12-26,1086,175,1091,144,335,41,46,3,5,0,0,0,1
2018-12-22,1116,191,1049,152,336,25,48,6,3,0,0,0,1
2018-12-19,1067,175,1079,135,373,35,52,5,5,0,0,0,1
2018-12-15,1109,180,1017,135,389,40,53,3,0,0,0,0,1
2018-12-12,1061,191,1098,143,344,31,54,1,3,0,0,0,1
2018-12-08,1069,165,1100,146,365,32,45,2,1,1,0,0,1
2018-12-05,1105,168,1076,134,348,38,52,3,2,0,0,0,1
2018-12-01,1132,199,1074,122,322,26,42,2,6,1,0,0,1
2018-11-28,1102,178,1035,117,416,38,35,4,1,0,0,0,1
2018-11-24,1110,183,1074,119,343,36,54,4,3,0,0,0,1
2018-11-21,1091,181,1025,149,395,31,45,5,4,0,0,0,1
2018-11-17,1078,209,1089,131,332,41,43,2,0,1,0,0,1
2018-11-14,1104,172,1081,140,341,35,48,0,5,0,0,0,1
2018-11-10,1072,183,1073,158,346,36,54,2,2,0,0,0,1
