DrawNumber,DrawDate,DrawTimes,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49
18,1992-03-28,17,1,0,2,2,4,2,1,6,3,4,1,1,2,1,4,1,1,1,2,2,1,2,2,3,1,1,3,2,1,1,2,3,4,5,2,2,2,6,0,2,2,2,1,3,1,3,1,0,3
19,1992-04-01,12,2,0,1,1,1,2,0,4,1,4,1,1,1,1,3,2,1,1,2,1,1,0,1,3,1,1,3,3,1,0,2,2,5,4,1,1,2,5,0,2,1,2,1,2,0,2,0,0,2
20,1992-04-04,10,1,0,1,0,1,2,0,2,2,3,0,1,0,1,4,2,1,1,2,0,1,0,2,2,1,0,2,2,1,0,2,2,5,4,1,2,1,4,0,2,1,2,1,2,0,1,0,0,1
21,1992-04-08,14,2,0,1,2,1,2,0,4,2,5,1,1,1,1,4,2,1,1,3,1,1,0,2,3,1,1,3,3,1,0,2,3,6,5,1,3,2,5,0,3,1,2,1,2,0,2,0,0,2
22,1992-04-11,16,2,0,1,3,2,2,0,5,2,5,1,1,1,1,4,2,1,1,3,2,1,1,2,3,1,2,3,3,1,0,2,4,6,5,1,3,2,5,0,3,1,2,1,3,2,3,1,0,2
23,1992-04-15,20,2,0,2,3,4,2,2,7,3,5,1,1,3,1,4,2,1,1,3,3,2,2,3,3,1,2,3,3,1,1,3,4,6,6,1,4,2,6,0,3,2,2,1,4,2,4,2,0,3
24,1992-04-18,14,1,0,1,2,2,2,1,3,2,4,0,1,1,1,4,3,1,1,3,1,2,1,2,2,1,1,2,3,1,0,3,3,5,4,1,3,1,4,0,3,2,2,2,3,1,2,1,0,1
26,1992-04-25,11,1,1,0,2,1,2,2,2,1,2,0,1,1,0,3,3,1,1,2,1,1,1,2,1,1,1,2,3,0,1,4,2,4,3,1,3,0,3,1,1,1,0,3,2,1,2,1,0,0
27,1992-04-29,13,1,1,2,2,2,4,2,3,1,2,0,1,1,0,5,3,1,1,3,1,1,1,2,1,1,1,2,3,0,1,4,2,4,4,1,3,0,4,1,1,2,0,3,2,1,2,1,0,0
28,1992-05-02,20,1,1,2,2,2,4,2,4,2,5,2,2,2,1,5,3,1,1,5,2,2,1,2,3,1,2,4,4,1,1,4,3,6,6,2,4,1,4,1,4,3,2,3,4,1,4,1,0,3
29,1992-05-06,17,1,1,2,2,2,4,3,3,1,3,1,2,1,0,5,3,2,2,5,1,2,1,2,3,1,1,2,3,0,1,4,3,5,5,2,4,1,4,1,3,2,2,3,3,1,3,1,0,1
30,1992-05-09,8,0,1,1,2,2,2,3,1,0,0,2,1,1,0,2,1,1,1,3,1,1,1,0,1,0,1,1,1,0,1,3,0,2,1,1,1,0,0,1,1,2,1,2,2,1,2,1,0,1
31,1992-05-13,13,1,1,2,3,2,2,3,2,1,1,2,1,1,0,3,2,1,2,4,2,1,1,2,2,0,1,1,2,0,1,5,2,5,3,1,3,0,2,1,2,2,1,2,2,1,2,2,0,1
32,1992-05-16,22,1,1,3,3,3,4,3,4,2,4,2,2,2,2,6,3,2,2,6,3,2,1,2,4,1,1,3,3,1,1,5,3,7,5,2,4,1,5,1,4,4,3,4,5,1,3,2,0,2
33,1992-05-20,7,0,0,3,1,1,2,2,1,0,0,2,0,1,1,2,0,1,1,3,2,0,0,0,2,0,0,1,0,0,0,1,0,2,2,1,1,0,2,0,1,3,1,1,3,0,2,1,0,1
34,1992-05-23,15,2,1,3,3,2,2,3,2,1,1,2,1,2,1,3,3,1,2,4,3,1,1,1,2,0,1,1,2,0,1,5,2,5,4,1,3,0,2,1,2,4,1,3,4,1,3,2,0,1
36,1992-05-30,19,2,1,3,3,2,2,3,2,2,2,2,1,2,1,4,3,1,3,4,3,1,1,3,2,2,1,2,3,1,2,7,3,6,5,1,4,0,4,1,2,4,2,3,5,1,4,2,1,1
37,1992-06-03,25,2,1,4,3,3,4,3,4,2,3,2,2,2,1,6,4,2,3,5,4,2,1,3,4,2,1,2,3,1,2,7,5,7,6,2,5,2,7,1,4,4,4,4,6,1,5,2,1,2
38,1992-06-06,14,1,1,3,1,2,3,2,1,1,0,2,1,1,1,2,2,1,2,3,3,0,0,1,2,1,0,1,2,1,2,5,3,3,3,1,2,1,3,1,2,5,4,3,4,0,3,1,1,2
39,1992-06-10,10,1,0,2,1,1,1,1,1,2,0,1,0,1,2,1,1,1,2,2,4,0,0,1,3,1,0,0,2,1,1,3,3,2,2,0,1,1,3,0,1,3,4,1,3,0,2,1,1,1
40,1992-06-13,14,1,0,3,1,2,4,2,2,2,0,2,0,1,2,2,1,1,2,4,4,0,0,1,3,1,0,2,3,1,1,3,3,4,3,1,2,1,3,0,2,4,4,1,4,0,3,1,1,2
41,1992-06-17,18,1,1,3,2,3,4,3,2,2,0,2,2,2,2,2,2,1,2,4,5,2,1,1,3,1,0,2,4,1,2,5,4,4,3,1,2,2,3,1,2,5,4,3,4,0,3,2,2,2
42,1992-06-20,19,1,1,3,2,3,4,4,2,2,0,2,2,2,2,2,2,1,2,4,5,2,2,1,3,1,0,3,4,1,2,5,4,5,3,1,2,3,3,1,2,5,4,3,4,0,3,3,2,2
43,1992-06-24,8,0,0,0,1,2,3,1,2,2,0,0,2,0,1,0,0,0,0,1,2,1,1,2,1,1,0,2,3,1,1,1,3,2,1,0,1,3,1,0,1,1,3,0,2,0,1,1,2,1
44,1992-06-27,10,1,0,0,1,2,3,1,3,3,0,0,2,0,1,0,2,0,1,1,2,2,1,2,1,1,0,2,3,1,1,2,4,3,1,0,1,3,1,0,1,2,3,0,3,0,1,1,2,1
45,1992-07-01,10,0,0,0,1,2,3,1,3,3,0,0,2,0,1,0,2,0,0,1,3,2,1,3,1,1,0,2,3,2,2,1,3,3,1,0,1,3,1,0,1,2,3,0,3,0,1,1,2,1
46,1992-07-04,16,1,0,2,2,3,3,1,4,3,0,1,2,1,2,2,3,0,1,1,6,2,1,4,2,1,0,2,3,2,2,3,4,5,3,0,1,3,3,0,1,5,3,1,5,0,2,2,2,2
47,1992-07-08,25,1,1,3,3,4,5,5,5,3,0,3,3,2,2,3,4,1,2,4,7,3,2,4,3,1,2,3,4,3,3,5,4,7,4,1,3,3,3,1,2,7,4,3,7,1,4,3,2,3
48,1992-07-11,23,1,2,3,2,3,5,4,4,3,0,3,3,2,2,3,3,1,2,4,6,2,1,4,3,1,1,3,3,3,3,4,4,8,4,2,3,3,3,1,3,6,4,2,7,0,3,2,2,3
49,1992-07-15,7,0,1,0,0,1,1,2,2,1,0,1,1,1,0,2,2,0,0,0,2,1,1,4,0,0,1,1,0,2,1,0,0,5,1,1,1,2,0,0,1,3,0,0,3,0,0,1,0,2
50,1992-07-18,7,0,1,0,0,2,1,1,3,1,0,1,2,1,0,2,2,0,0,0,2,1,0,4,0,0,1,0,0,2,2,0,0,4,2,2,1,1,0,0,1,3,0,0,3,0,0,0,0,2
51,1992-07-22,17,1,1,0,2,3,3,2,4,3,0,1,3,2,1,2,3,0,2,1,4,2,1,5,1,1,1,2,3,3,3,2,4,7,4,3,2,4,1,0,2,4,4,0,4,0,1,1,2,3
52,1992-07-25,17,0,1,0,2,3,4,3,5,3,0,1,3,2,1,2,3,0,1,2,4,2,1,5,1,1,1,2,3,3,3,1,3,6,4,3,2,4,2,0,2,4,4,0,4,0,1,1,2,3
53,1992-07-29,24,1,1,2,3,5,4,4,6,3,0,2,3,3,2,3,4,2,3,3,7,3,1,5,3,1,1,2,3,3,3,3,4,8,5,4,2,4,4,0,2,6,5,2,6,0,2,2,2,3
54,1992-08-01,18,0,1,0,2,4,4,3,5,3,0,1,3,2,1,2,3,2,1,2,5,3,1,4,2,2,1,2,3,3,3,1,3,6,4,4,3,4,1,0,2,4,4,1,4,0,0,1,1,3
55,1992-08-05,22,2,1,2,2,4,4,3,5,4,0,1,4,2,1,2,4,2,2,2,5,3,1,6,2,2,1,2,3,4,3,2,4,7,5,4,3,5,3,0,2,5,4,1,5,0,2,2,2,3
56,1992-08-08,34,3,3,4,4,6,6,6,7,4,0,3,5,5,2,4,5,3,3,5,8,4,2,7,4,2,2,3,4,4,4,5,4,9,6,5,4,5,4,1,3,8,5,4,8,2,4,4,3,4
57,1992-08-12,36,3,3,4,5,6,6,6,7,4,2,3,5,5,2,4,5,4,3,6,9,4,2,7,4,2,2,3,4,4,4,6,5,10,6,5,5,5,5,1,4,8,5,4,8,2,4,4,3,4
58,1992-08-15,7,2,1,2,2,1,1,1,1,2,1,0,1,2,0,0,1,3,1,1,2,2,0,2,1,1,0,0,0,1,0,1,0,1,1,2,1,1,2,0,0,0,1,2,0,1,0,2,1,0
59,1992-08-19,17,2,2,2,2,3,2,3,4,3,2,1,3,3,0,2,3,3,2,1,4,3,1,6,1,1,1,2,0,3,2,1,0,6,3,5,2,3,2,0,1,4,1,2,3,2,0,3,1,2
60,1992-08-22,9,2,1,3,2,1,1,1,2,2,3,0,1,3,0,0,2,3,2,1,2,2,0,2,1,1,0,1,0,1,0,1,0,1,2,3,1,1,2,0,0,1,1,2,0,2,0,2,1,0
61,1992-08-26,14,3,3,3,2,2,1,2,3,2,3,1,2,4,0,2,2,3,2,1,2,2,0,3,1,1,2,1,0,2,2,1,0,4,4,5,2,2,2,0,1,2,1,2,1,2,0,2,1,1
62,1992-08-29,27,3,3,3,3,4,5,3,6,5,3,1,4,4,1,3,5,3,2,2,6,4,1,7,3,2,3,3,3,4,4,2,3,7,6,6,3,5,3,0,2,5,4,2,4,2,2,3,3,3
63,1992-09-02,38,4,4,6,4,5,7,5,7,5,3,3,5,5,2,5,6,4,4,5,8,4,1,7,5,2,3,4,3,4,5,5,5,10,8,7,4,6,5,2,4,8,6,4,8,2,4,4,3,4
64,1992-09-05,22,3,3,3,2,3,3,3,5,3,3,2,3,4,0,3,5,3,3,1,4,3,2,6,2,1,3,2,0,3,3,1,1,6,6,6,3,4,2,1,3,4,2,2,4,2,1,3,1,2
65,1992-09-09,13,3,2,3,1,1,3,1,2,3,3,1,1,2,0,1,3,3,3,2,2,2,1,2,2,1,2,2,0,1,1,1,1,1,3,3,3,2,2,1,2,1,1,2,1,2,1,2,1,0
66,1992-09-12,17,3,2,3,3,2,3,1,3,3,3,1,2,3,0,2,3,3,4,2,2,2,1,3,2,2,2,2,0,1,2,1,1,3,5,5,3,3,3,1,2,2,2,2,1,2,1,2,2,2
67,1992-09-16,27,3,3,3,4,4,5,3,6,4,3,2,4,4,0,3,5,4,4,2,5,4,2,6,2,2,3,4,2,3,3,1,2,8,6,6,4,5,3,2,4,4,3,2,4,2,1,3,3,3
68,1992-09-19,7,1,2,0,1,0,2,0,0,2,0,1,0,0,0,2,1,1,3,1,1,0,2,0,1,1,2,1,1,0,1,0,1,1,2,2,2,1,1,2,3,0,2,0,1,0,1,0,1,1
69,1992-09-23,14,3,3,3,2,0,2,0,1,3,3,1,2,2,0,2,2,2,4,1,2,2,2,2,1,2,2,3,1,0,1,1,2,2,3,3,2,3,2,2,3,1,2,1,1,2,1,2,2,1
70,1992-09-26,31,3,4,3,4,4,5,3,7,6,3,2,5,4,2,5,5,4,5,4,7,5,3,6,3,3,3,5,3,3,3,1,3,8,7,7,4,6,3,2,4,4,3,2,4,2,1,3,3,3
71,1992-09-30,18,3,3,3,2,2,2,0,2,4,3,2,2,3,1,3,2,4,4,2,5,3,2,2,2,3,2,3,1,1,1,2,2,2,4,5,3,3,2,2,3,1,2,2,1,2,1,2,2,1
72,1992-10-03,18,3,4,3,2,1,2,0,3,4,3,3,2,3,1,3,2,3,5,2,4,2,2,2,2,3,2,3,2,2,1,2,2,2,4,4,3,3,2,2,3,1,2,1,1,2,1,2,2,1
