DrawNumber,DrawDate,S1,S2,S3,S4,S5,S6
2947,2020-04-22,1,4.0,5.0,5.0,10.0,12.0
2946,2020-04-18,1,1.0,2.0,2.0,4.0,6.0
2945,2020-04-15,1,1.0,8.0,14.0,18.0,28.0
2944,2020-04-11,1,2.0,6.0,11.0,12.0,20.0
2943,2020-04-08,2,3.0,4.0,5.0,5.0,18.0
2942,2020-04-04,1,1.0,2.0,4.0,11.0,39.0
2941,2020-04-01,2,2.0,7.0,7.0,12.0,15.0
2940,2020-03-28,3,5.0,9.0,10.0,10.0,23.0
2939,2020-03-25,2,4.0,8.0,9.0,10.0,12.0
2938,2020-03-21,3,4.0,5.0,5.0,14.0,14.0
2937,2020-03-18,1,1.0,1.0,2.0,4.0,13.0
2936,2020-03-14,4,7.0,12.0,16.0,19.0,24.0
2935,2020-03-11,1,7.0,14.0,17.0,18.0,19.0
2934,2020-03-07,1,3.0,5.0,9.0,14.0,23.0
2933,2020-03-04,1,1.0,1.0,3.0,13.0,19.0
2932,2020-02-29,1,2.0,3.0,8.0,9.0,11.0
2931,2020-02-26,3,3.0,5.0,5.0,12.0,13.0
2930,2020-02-22,1,2.0,3.0,4.0,7.0,20.0
2929,2020-02-19,1,1.0,6.0,7.0,8.0,11.0
2928,2020-02-15,1,1.0,2.0,10.0,14.0,22.0
2927,2020-02-12,2,5.0,5.0,5.0,8.0,37.0
2926,2020-02-08,1,3.0,3.0,5.0,6.0,15.0
2925,2020-02-05,3,4.0,9.0,9.0,10.0,11.0
2924,2020-02-01,1,2.0,3.0,8.0,12.0,16.0
2923,2020-01-29,3,7.0,8.0,13.0,16.0,17.0
2922,2020-01-25,4,4.0,7.0,8.0,9.0,17.0
2921,2020-01-22,1,5.0,6.0,10.0,12.0,12.0
2920,2020-01-18,1,1.0,1.0,1.0,5.0,28.0
2919,2020-01-15,2,4.0,6.0,9.0,11.0,12.0
2918,2020-01-11,1,5.0,5.0,8.0,9.0,15.0
2917,2020-01-08,3,4.0,6.0,6.0,9.0,12.0
2916,2020-01-04,2,9.0,10.0,15.0,17.0,27.0
2915,2020-01-01,2,3.0,3.0,7.0,8.0,17.0
2914,2019-12-28,5,7.0,8.0,13.0,18.0,19.0
2913,2019-12-25,1,1.0,2.0,5.0,6.0,11.0
2912,2019-12-21,2,2.0,7.0,8.0,15.0,24.0
2911,2019-12-18,2,2.0,7.0,8.0,11.0,23.0
2910,2019-12-14,6,7.0,10.0,16.0,17.0,27.0
