DN  ,Draw Date ,s0,s0+,s1,s1+,s2,s2+,s3,s3+,s4,s4+,s5,s5+,s6
2929,2020-02-19,1123,191,1048,132,350,35,39,6,4,0,0,0,1
2928,2020-02-15,1050,179,1117,141,352,38,45,2,4,0,0,0,1
2927,2020-02-12,1101,175,1058,141,357,33,56,3,4,0,0,0,1
2926,2020-02-08,1087,165,1110,156,320,36,44,6,2,1,1,0,1
2925,2020-02-05,1060,182,1052,148,388,35,58,3,1,0,1,0,1
2924,2020-02-01,1097,175,1079,140,367,27,35,3,5,0,0,0,1
2923,2020-01-29,1078,175,1100,115,359,37,57,3,3,1,0,0,1
2922,2020-01-25,1096,176,1085,141,337,32,57,2,2,0,0,0,1
2921,2020-01-22,1129,171,1035,158,338,38,52,5,2,0,0,0,1
2920,2020-01-18,1141,197,1045,147,309,37,49,1,1,1,0,0,1
2919,2020-01-15,1137,185,1034,142,337,28,56,6,3,0,0,0,1
2918,2020-01-11,1114,186,1061,126,357,29,49,5,1,0,0,0,1
2917,2020-01-08,1103,185,1071,112,364,37,46,6,4,0,0,0,1
2916,2020-01-04,1124,181,1049,144,356,23,42,4,4,1,0,0,1
2915,2020-01-01,1078,186,1086,131,345,40,53,2,7,0,0,0,1
2914,2019-12-28,1109,180,1060,144,352,33,47,1,2,0,0,0,1
2913,2019-12-25,1074,179,1068,149,368,38,51,1,0,0,0,0,1
2912,2019-12-21,1084,185,1049,137,390,31,40,6,6,0,0,0,1
2911,2019-12-18,1148,170,1028,128,363,39,47,3,2,0,0,0,1
2910,2019-12-14,1137,179,1037,136,350,37,47,2,2,0,1,0,1
2909,2019-12-11,1085,177,1046,154,378,26,50,9,3,0,0,0,1
2908,2019-12-07,1122,169,1046,135,364,32,53,2,5,0,0,0,1
2907,2019-12-04,1104,185,1038,145,371,36,45,2,2,0,0,0,1
2906,2019-11-30,1067,174,1116,141,336,33,50,5,6,0,0,0,1
2905,2019-11-27,1042,186,1113,136,360,39,38,6,8,0,0,0,1
2904,2019-11-23,1116,155,1040,143,377,27,58,9,2,1,0,0,1
2903,2019-11-20,1074,200,1079,143,347,40,43,1,1,0,0,0,1
2902,2019-11-16,1061,156,1084,151,388,44,40,3,1,0,0,0,1
2901,2019-11-13,1110,177,1050,135,367,30,52,5,2,0,0,0,1
2900,2019-11-09,1088,168,1079,139,374,29,46,3,2,0,0,0,1
2899,2019-11-06,1062,186,1131,134,328,40,41,3,3,0,0,0,1
2898,2019-11-02,1095,183,1094,137,321,31,62,4,1,0,0,0,1
2897,2019-10-30,1067,167,1151,147,320,37,35,2,2,0,0,0,1
2896,2019-10-26,1108,182,1042,153,357,27,56,2,1,0,0,0,1
2895,2019-10-23,1128,175,1058,138,344,37,43,3,2,0,0,0,1
2894,2019-10-19,1117,178,1066,136,346,46,35,4,0,0,0,0,1
2893,2019-10-16,1124,170,1068,150,337,39,34,2,3,0,1,0,1
2892,2019-10-12,1084,192,1085,150,332,34,47,2,2,0,0,0,1
2891,2019-10-09,1076,172,1078,149,368,36,41,5,3,0,0,0,1
2890,2019-10-05,1086,201,1047,151,356,35,49,3,0,0,0,0,1
2889,2019-10-02,1136,179,1055,152,330,33,37,6,0,0,0,0,1
2888,2019-09-28,1071,171,1072,147,368,37,52,5,5,0,0,0,1
2887,2019-09-25,1109,192,1023,153,360,42,45,3,1,0,0,0,1
2886,2019-09-21,1093,187,1025,144,389,29,58,3,0,0,0,0,1
2885,2019-09-18,1095,199,1054,132,362,31,48,3,3,0,1,0,1
2884,2019-09-14,1110,191,1070,124,334,41,56,2,0,0,0,0,1
2883,2019-09-11,1104,169,1075,126,372,33,42,3,4,0,0,0,1
2882,2019-09-07,1127,176,1067,134,336,34,46,5,3,0,0,0,1
2881,2019-09-04,1128,201,1035,147,321,41,51,2,2,0,0,0,1
2880,2019-08-31,1085,183,1104,122,348,27,53,2,4,0,0,0,1
2879,2019-08-28,1097,193,1078,128,365,17,47,2,1,0,0,0,1
2878,2019-08-24,1070,190,1072,139,353,41,56,5,1,1,0,0,1
2877,2019-08-21,1067,181,1101,144,336,39,57,1,2,0,0,0,1
2876,2019-08-17,1124,161,1062,126,359,36,50,7,3,0,0,0,1
2875,2019-08-14,1118,204,1020,154,339,42,48,2,1,0,0,0,1
2874,2019-08-10,1099,172,1063,135,374,33,44,5,3,0,0,0,1
2873,2019-08-07,1149,172,1024,132,363,33,45,6,4,0,0,0,1
2872,2019-08-03,1120,190,1074,121,339,31,49,2,2,0,0,0,1
2871,2019-07-31,1080,160,1102,137,371,27,45,4,2,0,0,0,1
2870,2019-07-27,1098,187,1036,129,374,47,52,4,1,0,0,0,1
2869,2019-07-24,1094,189,1087,142,335,30,45,6,0,0,0,0,1
2868,2019-07-20,1105,171,1050,152,355,44,43,5,2,1,0,0,1
2867,2019-07-17,1154,166,1027,131,369,31,44,3,3,0,0,0,1
2866,2019-07-13,1128,185,1026,144,337,38,64,2,4,0,0,0,1
2865,2019-07-10,1082,169,1071,143,380,33,42,4,3,1,0,0,1
2864,2019-07-06,1105,174,1066,160,336,34,41,7,3,1,1,0,1
2863,2019-07-03,1161,186,983,149,349,40,49,4,6,1,0,0,1
2862,2019-06-29,1159,186,1021,138,332,41,40,8,3,0,0,0,1
2861,2019-06-26,1026,195,1085,148,374,46,49,3,2,0,0,0,1
2860,2019-06-22,1101,182,1069,116,373,34,47,2,2,1,1,0,1
2859,2019-06-19,1096,196,1079,128,350,31,43,1,4,0,0,0,1
2858,2019-06-15,1089,169,1087,156,336,37,48,3,3,0,0,0,1
2857,2019-06-12,1105,179,1048,147,366,36,43,2,2,0,0,0,1
2856,2019-06-08,1081,178,1035,150,379,38,57,7,3,0,0,0,1
2855,2019-06-05,1103,194,1005,128,396,43,51,7,1,0,0,0,1
2854,2019-06-01,1135,179,1025,144,343,39,54,8,1,0,0,0,1
2853,2019-05-29,1100,182,1067,134,345,38,54,5,3,0,0,0,1
2852,2019-05-25,1113,189,1046,131,353,40,46,5,5,0,0,0,1
2851,2019-05-22,1123,185,1061,139,333,27,55,4,1,0,0,0,1
2850,2019-05-18,1075,157,1094,152,353,46,45,3,3,0,0,0,1
2849,2019-05-15,1076,187,1065,125,373,43,52,3,4,0,0,0,1
2848,2019-05-11,1116,162,1085,139,327,40,50,6,3,0,0,0,1
2847,2019-05-08,1063,190,1079,152,358,28,53,1,4,0,0,0,1
2846,2019-05-04,1075,187,1084,143,362,35,36,3,2,1,0,0,1
2845,2019-05-01,1048,195,1117,129,358,30,43,5,3,0,0,0,1
2844,2019-04-27,1109,190,1077,134,334,28,47,6,3,0,0,0,1
2843,2019-04-24,1101,182,1072,146,352,34,36,3,2,0,0,0,1
2842,2019-04-20,1136,174,1010,144,364,37,50,10,3,0,0,0,1
2841,2019-04-17,1117,177,1062,142,343,39,38,6,4,0,0,0,1
2840,2019-04-13,1098,145,1104,151,346,41,40,2,1,0,0,0,1
2839,2019-04-10,1045,175,1068,173,363,46,54,3,0,0,1,0,1
2838,2019-04-06,1079,171,1094,144,352,31,51,2,4,0,0,0,1
2837,2019-04-03,1071,170,1103,129,370,34,45,3,3,0,0,0,1
2836,2019-03-30,1058,159,1099,153,366,33,51,4,5,0,0,0,1
2835,2019-03-27,1117,194,1044,136,364,31,34,3,5,0,0,0,1
2834,2019-03-23,1083,166,1117,149,322,40,45,4,2,0,0,0,1
2833,2019-03-20,1092,190,1058,163,338,32,48,5,2,0,0,0,1
2832,2019-03-16,1082,187,1073,141,360,34,42,6,2,1,0,0,1
2831,2019-03-13,1136,177,1048,131,328,43,57,4,4,0,0,0,1
2830,2019-03-09,1119,188,1031,137,367,32,41,7,5,0,1,0,1
2829,2019-03-06,1130,175,1042,131,356,30,55,4,3,2,0,0,1
2828,2019-03-02,1084,172,1086,159,354,29,40,3,1,0,0,0,1
2827,2019-02-27,1108,158,1075,139,360,34,50,2,2,0,0,0,1
2826,2019-02-23,1087,174,1051,160,365,37,46,6,2,0,0,0,1
2825,2019-02-20,1105,175,1085,140,339,27,50,6,0,0,1,0,1
2824,2019-02-16,1116,182,1037,162,337,34,54,1,5,0,0,0,1
2823,2019-02-13,1106,178,1061,131,341,35,66,6,4,0,0,0,1
2822,2019-02-09,1092,193,1035,130,374,42,56,4,2,0,0,0,1
2821,2019-02-06,1134,193,1018,143,342,41,52,3,2,0,0,0,1
2820,2019-02-02,1086,192,1018,149,378,37,60,3,5,0,0,0,1
2819,2019-01-30,1123,185,1060,137,341,30,50,0,2,0,0,0,1
2818,2019-01-26,1095,187,1064,139,351,36,50,3,3,0,0,0,1
2817,2019-01-23,1102,171,1050,155,350,34,56,5,5,0,0,0,1
2816,2019-01-19,1091,176,1088,142,336,42,47,4,2,0,0,0,1
2815,2019-01-16,1148,176,990,152,362,38,56,3,2,1,0,0,1
2814,2019-01-12,1128,175,1033,153,342,33,56,4,3,1,0,0,1
2813,2019-01-09,1120,193,1074,134,323,38,39,7,0,0,0,0,1
2812,2019-01-05,1111,189,1026,149,353,32,60,5,3,0,0,0,1
2811,2019-01-02,1074,180,1060,136,382,42,47,5,2,0,0,0,1
2810,2018-12-29,1103,168,1090,139,343,38,44,2,1,0,0,0,1
2809,2018-12-26,1088,175,1091,144,335,41,46,3,5,0,0,0,1
2808,2018-12-22,1118,191,1049,152,336,25,48,6,3,0,0,0,1
2807,2018-12-19,1067,175,1081,135,373,35,52,5,5,0,0,0,1
2806,2018-12-15,1109,180,1019,135,389,40,53,3,0,0,0,0,1
2805,2018-12-12,1061,191,1099,143,345,31,54,1,3,0,0,0,1
2804,2018-12-08,1069,165,1102,146,365,32,45,2,1,1,0,0,1
2803,2018-12-05,1107,168,1076,134,348,38,52,3,2,0,0,0,1
2802,2018-12-01,1132,200,1074,122,323,26,42,2,6,1,0,0,1
2801,2018-11-28,1103,178,1036,117,416,38,35,4,1,0,0,0,1
2800,2018-11-24,1111,184,1074,119,343,36,54,4,3,0,0,0,1
2799,2018-11-21,1091,181,1026,149,396,31,45,5,4,0,0,0,1
2798,2018-11-17,1080,209,1089,131,332,41,43,2,0,1,0,0,1
2797,2018-11-14,1105,172,1082,140,341,35,48,0,5,0,0,0,1
2796,2018-11-10,1074,183,1073,158,346,36,54,2,2,0,0,0,1
2795,2018-11-07,1103,182,1085,120,345,34,48,6,5,0,0,0,1
2794,2018-11-03,1158,165,1019,138,343,38,59,5,3,0,0,0,1
2793,2018-10-31,1092,197,1054,150,352,39,42,1,1,0,0,0,1
2792,2018-10-27,1128,191,1021,147,341,44,54,0,2,0,0,0,1
2791,2018-10-24,1112,188,1029,125,379,40,51,1,3,0,0,0,1
2790,2018-10-20,1089,174,1073,146,357,37,46,3,3,0,0,0,1
2789,2018-10-17,1154,182,1038,127,343,34,43,3,3,1,0,0,1
2788,2018-10-13,1090,183,1074,141,348,41,47,3,1,0,0,0,1
2787,2018-10-10,1088,181,1056,134,369,38,55,5,1,0,1,0,1
2786,2018-10-06,1199,175,974,132,363,32,47,4,2,0,0,0,1
2785,2018-10-03,1049,197,1101,147,347,33,47,2,4,1,0,0,1
2784,2018-09-29,1077,175,1065,159,362,34,49,4,3,0,0,0,1
2783,2018-09-26,1105,178,1093,127,340,30,50,1,4,0,0,0,1
2782,2018-09-22,1057,202,1048,141,378,39,58,3,2,0,0,0,1
2781,2018-09-19,1068,198,1081,143,357,41,31,3,5,0,1,0,1
2780,2018-09-15,1089,156,1091,141,363,39,39,8,2,0,0,0,1
2779,2018-09-12,1093,186,1048,156,353,38,46,3,5,0,0,0,1
2778,2018-09-08,1121,189,1023,151,339,42,57,4,2,0,0,0,1
2777,2018-09-05,1134,163,1062,137,351,38,31,5,7,0,0,0,1
2776,2018-09-01,1142,166,1037,132,341,40,60,6,2,1,1,0,1
2775,2018-08-29,1112,160,1094,135,349,34,38,3,3,0,0,0,1
